Deposit/Project Name,Country,Primary Mineral deposit Type,Secondary Mineral deposit Type,Other Mineral deposit Type,Min. ResC Mt,Min. ResV Mt,Min. ResC Cu %,Min. ResV Cu %
Ellatsite (Ellatzite),Bulgaria,Porphyry,,,350.0,,0.39,
Gorubso-Madan,Bulgaria,Sediment-hosted Pb-Zn,,,110.0,,0.22,
Karlievo,Bulgaria,Porphyry,,,61.0,,0.21,
Luki-Drujba,Bulgaria,Skarn,,,7.7,,0.3050649351,
Medet,Bulgaria,Porphyry,,,244.0,,0.37,
Orlovo Gnezdo,Bulgaria,Porphyry,,,36.0,,0.32,
Popovo Dere,Bulgaria,Porphyry,,,75.0,,0.2,
Prohorovo,Bulgaria,Porphyry,,,260.0,,0.2487307692,
Tsar Assen,Bulgaria,Porphyry,,,6.6,,0.47,
Vlakov Vruh,Bulgaria,Porphyry,,,85.0,,0.23,
Vozdol,Bulgaria,Epithermal,Low sulphidation,,42.0,,0.42,
Boulsa-Sartenga,Burkina Faso,Porphyry,,,162.6,,0.2,
Gaoua,Burkina Faso,Porphyry,,,285.268,,0.3181628504,
Wayin,Burkina Faso,Porphyry,,,16.043,,0.21,
Musongati,Burundi,Ni laterite,,,150.18,,0.2090331602,
Kou Sa (Prospects 150-160),Cambodia,Epithermal,Intermediate sulphidation?,,16.177458,,0.2543907065,
Aer-Kidd,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,0.661,,0.76,
Ajax-Afton-E-W,Canada,Porphyry,,,597.0,426.0,0.2516080402,0.29
Ajax-Rainbow,Canada,Porphyry,,,100.6,,0.237,
Ajax-DM/Audra/Crescent,Canada,Porphyry,,,108.8,,0.2030670956,
Akasaba,Canada,Skarn,,,7.587,4.759,0.4491788586,0.52
Alexo-Kelex,Canada,Magmatic Sulphide,Archean Komatiite-related,,0.5389999999999999,,0.0440074211502783,
Allard River,Canada,VMS,,,0.45,,0.75,
Angilak-Lac Cinquante,Canada,IOCG/Unconformity-related Uranium,,,1.906,,0.25,
Axe,Canada,Porphyry,,,71.1,,0.39,
B26 East Zone,Canada,VMS,,,10.774,,1.25033785,
B4-7 (Junior Lake),Canada,Magmatic Sulphide,Intrusion-related,,4.006,,0.4,
Bateman Bay,Canada,Porphyry,,,0.359854488,,2.64,
Bedford Hill,Canada,VMS,,,0.2,,1.5,
Bell,Canada,Porphyry,,,357.0,,0.4015966387,
Berg (Canada),Canada,Porphyry,,,650.6,,0.2852720566,
Big Bull,Canada,VMS,Kuroko type,,2.106,,0.3606980057,
Big Onion,Canada,Porphyry,,,174.8,,0.2346315789,
Bigstone,Canada,VMS,,,4.5027,,1.723069492,
Blue Caribou,Canada,Porphyry,,,6.901,,1.43,
Blue Lake,Canada,Magmatic Sulphide,Intrusion-related,,4.374917,,0.87,
Bobby's Pond,Canada,VMS,,,2.272,,0.9066241197,
Bomber (Cook Lake),Canada,VMS,,,0.68,,0.04,
Bonanza,Canada,VMS,,,0.01062,,1.76,
Boomerang-Domino (Tulks South),Canada,VMS,,,0.4302,,0.4,
Boylen,Canada,VMS,,,1.06,,0.7,
Brabant Lake,Canada,VMS,,,4.45,,0.6295505618,
Bracemac-McLeod,Canada,VMS,,,6.64,5.41,1.247951807,1.142495379
Brompton,Canada,VMS,,,0.64,,1.7,
Bronson Slope-Inel (polymet),Canada,Porphyry,,,0.317485,,0.1,
Bronson Slope-Iskut (AuCu),Canada,Porphyry,,,316.7,,0.1394474266,
Bucko Lake,Canada,Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,15.559000000000001,2.61,0.10722989909377209,0.11
Buckton-Buckton South,Canada,Shale-hosted,,,5209.099,,0.004094170746226938,
Buttle Lake-Price,Canada,VMS,,,0.19,,1.4,
Buttle Lake-Trumpeter,Canada,VMS,,,0.23,,4.1,
Cadillac Creek-Mid Canada/Orenada Zone 1,Canada,Skarn,,,1.11395,,1.02,
Caledonia (Cascade),Canada,Sediment-hosted Pb-Zn,,,0.068,,6.1,
Canfield Dome,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,0.3,,1.2,
Captain,Canada,VMS,,,2.012,,1.032027833,
Caribou,Canada,VMS,,,11.0,,0.4063909091,
Carmacks-Williams Creek,Canada,Porphyry,Cu-Au,,33.078,,0.7772897394,
Cash,Canada,Porphyry,Cu-Mo-Au,,36.29,,0.17,
Casino,Canada,Porphyry,Cu-Mo-Au,,3414.8,1122.661,0.1498846199,0.1804378811
Cat Lake-New Manitoba,Canada,Magmatic Sulphide,,,1.8144,,0.75,
Catface,Canada,Porphyry,Cu,,319.311,,0.3835616061,
Cavalier,Canada,VMS,,,0.29,,1.48,
Cedar Bay,Canada,Porphyry,,,0.24852,,0.97,
Chester,Canada,VMS,,,4.014,,1.212864973,
Chu,Canada,Porphyry,,,627.19,,0.03540906264,
Chu Chua,Canada,VMS,,,2.827047,,1.9,
CNE,Canada,VMS,,,0.410881,,0.14105303,
Colchester (incl. Stockpiles),Canada,VMS,includes Stockpiles,,1.0027,,1.301427147,
Colossus,Canada,Porphyry,,,0.117934,,2.5,
Copper Canyon,Canada,Porphyry,Cu,,411.4,,0.38,
Copper Cliff Extension,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,0.051025464,,1.0,
Copper Man,Canada,VMS,,,0.22,,2.63,
Copper Mountain (Similkameen),Canada,Porphyry,,,955.0,184.0,0.2302617801,0.29
Copper Road (East/West),Canada,Porphyry?,,,0.151331,,3.352834912,
Corner Bay,Canada,VMS,,,2.011,,3.008015912,
Coulon,Canada,VMS,,,14.293716,,1.3,
Creek Zone Mat,Canada,VMS,,,0.91,,1.66,
Daniels Pond,Canada,VMS,,,1.61,,0.2988198758,
De Maurès,Canada,VMS,,,0.35,,1.35,
Denison,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,0.38,,0.9600000000000001,
Devlin,Canada,Porphyry,,,2.2887,,1.874367545,
Devils Elbow,Canada,VMS,,,0.52,,1.05,
Domergue-Anomaly E,Canada,VMS,,,0.03,,1.8,
Don Rouyn,Canada,Porphyry,,,36.0,,0.15,
Dorchester,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,2.3,,2.0,
Dorothy,Canada,Porphyry,,,40.8195,,0.25,
DOT,Canada,Porphyry,,,13.1139,,0.3896403816,
Double Ed,Canada,VMS,,,1.85,,1.6,
Duthie,Canada,VMS,,,0.07503,,0.5162068506,
Eagle (Canada),Canada,Porphyry,,,26.3088,,0.41,
Eagle's Nest,Canada,Magmatic Sulphide,,,21.569999999999997,11.131,1.093043394961203,1.093043394961203
Eaglehead,Canada,Porphyry,Cu-Mo,,102.5,,0.2959609756,
Eastmain-Ruby Hill,Canada,Orogenic Au,,,0.79661232,,0.2334570723,
Ecstall,Canada,VMS,,,6.3497,,0.6,
Eden (Upper/Lower),Canada,VMS,,,0.158757,,1.437141669,
Elgin,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,0.025,,2.25,
Empire Le Tac,Canada,VMS,,,0.32,,0.25,
Estrades-Caribou,Canada,VMS,,,0.7912,0.45235,0.8496334681,0.9469647397
Errington,Canada,VMS,,,9.0,,1.137222222,
Explo-Zinc (Kistabiche),Canada,VMS,,,0.861446,,0.3055539175,
Fabie Bay,Canada,VMS,,,0.9,,2.5,
Faro,Canada,Sediment-hosted Pb-Zn,,,4.417,,0.15,
Fault Creek,Canada,VMS,,,0.05,,4.7,
Ferguson Lake,Canada,Magmatic Sulphide,Gabbro-related,,46.0,,0.9965652173913043,
Fyre Lake-Kona,Canada,VMS,Besshi-type,Cu,15.833,,1.188103328,
Galaxy,Canada,Porphyry,,,3.2,,0.65,
Galore Creek,Canada,Porphyry,Cu-Au,,1689.4,528.1,0.5085367586,0.5839197122
Gambier Island,Canada,Porphyry,,,251.4,,0.27,
Geordie Lake,Canada,Magmatic Sulphide,,,70.43,,0.2109209144,
Getty North/South,Canada,Porphyry,,,156.165,86.561,0.3466083694,0.4004075392
Gibraltar,Canada,Porphyry,Cu-Au,,1036.9296,671.328,0.2486614173,0.2573243243
GJ-Donnelly/North Donnelly,Canada,Porphyry,Cu-Au,,376.9,,0.1983139294,
Gnat Pass (Gnat Lake),Canada,Porphyry,,,30.38785,,0.389,
Goodenough,Canada,VMS,,,0.45,,2.63,
GP4F,Canada,VMS,Kuroko type,Zn-Pb-Cu-Ag-Au,1.7,,0.2,
Grandroy,Canada,Porphyry,,,0.3168287136,,1.18,
Granisle,Canada,Porphyry,,,93.0,,0.3077419355,
Greenwood-Golden Crown,Canada,Skarn?,Area seems to contain multiple deposit types,,0.205,,0.5333658537,
Greenwood-Lexington/Grenoble,Canada,Porphyry,,,0.384,,1.04875,
Grum-Vamgorda-Grizzly (Dy),Canada,Sediment-hosted Pb-Zn,,,38.008,,0.12,
Hackett River,Canada,VMS,,,87.0,,0.4310344828,
Halfmile Lake,Canada,VMS,,,12.3403,,0.1780156884,
Hand Camp,Canada,VMS,,,2.27,,2.62,
Harper Creek,Canada,VMS,,,1674.248,,0.2270573774,
Hart,Canada,Magmatic Sulphide,Archean Komatiite,,1.868,1.701028,0.09655246253,0.08
Hart River,Canada,VMS,,,0.523849,,1.45,
HB,Canada,Sediment-hosted Pb-Zn,Sedex,,0.036287,,0.05,
Hidden Creek (Anyox),Canada,VMS,,,24.33184,,1.08,
High Lake,Canada,VMS,,,14.0,,2.5,
Highland Valley ,Canada,Porphyry,Cu,,2040.4,577.2,0.2690286218,0.2953534304
Hope Brook,Canada,Epithermal,High sulphidation,,9.271,,0.08,
Horne-5,Canada,VMS,,,101.3637,,0.1856703435,
Huckleberry,Canada,Porphyry,Cu-Mo,,240.884343,35.394239,0.3006991263,0.327382156
Hudson Bay-777,Canada,VMS,,,7.713,6.302,1.540088163,1.66
Hudson Bay-Bur,Canada,VMS,,,1.05,,1.918895238,
Hudson Bay-Lalor,Canada,VMS,,,23.26,15.285,0.7349127257,0.72
Hudson Bay-Lost,Canada,VMS,,,0.48,,1.756875,
Hudson Bay-Reed,Canada,VMS?,,,1.397,1.194,4.168468146,4.09
Hudson Bay-Watts River,Canada,VMS,,,6.62,,1.88,
Hudvam,Canada,VMS,,,1.357,,1.060611643,
Hushamu,Canada,Porphyry,,,1977.42,,0.1083536123,
Ice,Canada,VMS,Cyprus-type,Cu,4.561863,,1.48,
Indian Mountain-Kennedy Lake West,Canada,VMS,,,0.682668,,1.071594684,
Inmont,Canada,VMS,,,0.12,,1.7,
Invermay (AM / Giant Copper),Canada,Porphyry,,,45.373,,0.47,
Iron Mask,Canada,Porphyry,,,2.4,,0.4,
Izok Lake,Canada,VMS,,,14.6,,2.3,
Jay (Conigo),Canada,VMS,,,2.74,,1.26,
Jogran,Canada,Porphyry,,,20.0,,0.19,
June,Canada,Porphyry,,,30.4,,0.39,
June Creek,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,0.25,,3.4,
Kelly Creek,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,5.04,,1.03,
Kemess-Kemess East,Canada,Porphyry,Cu-Au,,348.79,100.373,0.3114697382,0.28
Kenbridge,Canada,Magmatic Sulphide,Layered Intrusive,,14.454838,,0.2315803816,
Kidd Creek,Canada,VMS,,,17.9,10.29,1.982905028,1.949446064
Klaza-BRX,Canada,Epithermal,Low sulphidation,,9.069,,0.08887087882,
KM61,Canada,Porphyry,,,105.5,,0.09,
Kokko Creek,Canada,Porphyry,,,0.104328,,1.5,
KSM Group,Canada,Porphyry,,,5446.143,,0.2098494659,
Kudz Ze Kayah (ABM-Krakatoa),Canada,VMS,Kuroko type,Cu-Zn-Pb-Au-Ag,20.1,,0.9,
Kutcho,Canada,VMS,,,46.773692,10.441161,1.52419654,2.01
Kwanika,Canada,Porphyry,,,539.2,,0.2074332344,
La Grande Sud,Canada,Orogenic Au,,,7.18,,0.17,
"Lac Chibougamau (Tommy, T10, T9, S-3)",Canada,Epithermal?,,,0.452778984,,1.040235727,
Lac des Iles,Canada,Magmatic Sulphide,PGE-discordant intrusion,,106.784,20.367,0.05985593112466296,0.05985593112466296
NISK-1 / Lac Levac,Canada,Magmatic Sulphide,,,3.091,,0.4706405694,
Lac Rocher,Canada,Magmatic Sulphide,Stratabound Contact-type,,1.23838,0.318,0.5842254155,0.583490566
Langlois,Canada,VMS?,,,3.56,1.98,0.7450280899,0.67
Lara (Canada),Canada,VMS,,,1.8163,,0.9947007653,
LaRonde,Canada,VMS,,,34.204,18.22,0.2360408139,0.2375850714
Lemarchant-South Tally Pond,Canada,VMS,,,3.79,,0.4241688654,
Lenora,Canada,VMS,,,0.317485,,1.6,
Lessard,Canada,VMS,,,0.74,,1.88,
Linda 2-RLM,Canada,VMS,,,11.8,,0.3,
Lingwick,Canada,VMS,,,0.32,,0.6,
Little Deer-Whalesback,Canada,VMS,,,7.344699,,1.807708778,
Lochaber Lake,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,5.0,,0.33,
Lockerby,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,12.100865,0.75583,0.4465710418,1.418251776
Lockport,Canada,VMS,,,1.32,,0.87,
Lone Pine,Canada,Porphyry,,,179.363,,0.03,
Long Lake,Canada,VMS,,,0.485,,0.9265773196,
Lorraine,Canada,Porphyry,,,31.94,,0.66,
Louise Lake,Canada,Porphyry,,,151.0,,0.2376225166,
Lundberg-Engine House,Canada,VMS,,,27.75,,0.3375747748,
Lustdust-Canyon Creek,Canada,Skarn,Carbonate-replacement,,4.377,,1.180116518,
Lyndhurst,Canada,VMS,,,0.199,,1.964874372,
Lynn Lake (EL-N-O-G-EL Plug),Canada,Magmatic Sulphide,,,11.21,,0.3991882248,
Lynx-Yellowknife,Canada,VMS,,,0.204,,1.6,
Mac (MAC),Canada,Porphyry,,,453.422,,0.04774113298,
MacLeod Lake,Canada,Porphyry,,,20.042,,0.5767737751,
Maggie,Canada,Porphyry,,,181.0,,0.28,
Magusi River,Canada,VMS,,,3.122,,1.761973094,
Maple Bay Group,Canada,VMS,,,1.219535,,1.546786931,
Marathon ,Canada,Magmatic Sulphide,Intrusion-related,,201.761,91.447,0.10037797559693239,0.10037797559693239
Marg,Canada,VMS?,Kuroko type ?,Cu-Zn-Pb-Au-Ag,14.35,,1.103310105,
Marn,Canada,Skarn,,,0.226796,,1.0,
Makwa (Maskwa),Canada,Magmatic Sulphide,Intrusion-related,,7.863,,0.12449955487727331,
Mayville,Canada,Magmatic Sulphide,Intrusion-related,,33.199999999999996,,0.43798192771084343,
McDame Belle (Yellowjack-Cariboo),Canada,Skarn,,,0.032652,,0.325,
McIlvenna Bay,Canada,VMS,,,29.4,,1.207823129,
Merrill Island,Canada,Porphyry,,,1.7880912,,0.7409284627,
Minto,Canada,Porphyry,,,70.29,5.473,0.9858389529,1.87
Misty,Canada,Porphyry,,,3.0,,0.6,
Moleon Lake,Canada,VMS,,,0.181,,1.7,
Moly Brook,Canada,Porphyry,Mo-Cu-Ag,,198.780384,,0.03290791534,
Monpas (Albar),Canada,VMS,,,0.05,,2.0,
Mother Lode-Greyhound,Canada,Skarn,,,0.407288,,0.65,
Mount Milligan,Canada,Porphyry,,,633.7,506.4,0.1879094209,0.1959818325
Mount Pleasant (North Zone),Canada,Porphyry,Sn-W-Mo,,15.2,,0.05,
Mount Polley,Canada,Porphyry,Cu-Au,,436.616909,79.672019,0.276148985,0.2935604842
Mount Washington-Lakeview-Domineer,Canada,Epithermal,High sulphidation,,0.856018,,0.7485710114,
Mount Washington Tailings,Canada,Tailings,Epithermal,,0.3254,,0.102,
Murray Brook,Canada,VMS,,,20.705,,0.4529234484,
Myra Falls,Canada,VMS,,,9.75,4.66,0.8917846154,0.95
Nama Creek (Big Nama Creek),Canada,VMS,,,0.57,,0.79,
New Afton,Canada,Porphyry,Cu-Au,,131.956,61.55,0.7661118858,0.82
New Bay Pond,Canada,VMS,,,18.1,,0.5,
Newmont Lake-Northwest Zone,Canada,Skarn,,,2.29,,0.18,
Nickel King,Canada,Magmatic Sulphide,Impact-related,,58.056,,0.08485117817,
Nico,Canada,IOCG,,,30.922,33.077,0.03965111709,0.03965111709
Nicobi,Canada,Magmatic Sulphide,Intrusion-related,,1.8,,0.25,
Norpax,Canada,Magmatic Sulphide,Layered Intrusive,,1.01,,0.5,
North Boundary,Canada,VMS,,,0.46,,0.6,
North ROK-Coyote,Canada,Porphyry,Cu-Au,,271.84,,0.16,
Norton Lake,Canada,Magmatic Sulphide,,,2.457225,,0.6083837784,
Nucleus,Canada,Epithermal,Low sulphidation,,703.06,,0.03969876979,
Nunavik ,Canada,Magmatic Sulphide,Proterozoic Komatiite-related,"Komatiitic Basalt, rather than true komatiite",41.39071699999999,,0.9385275979635728,
Okeover-OK North,Canada,Porphyry,,,86.8,,0.31,
Ootsa (Ox-Seel East/West),Canada,Porphyry,,,230.251,,0.2247172434,
Orchan West,Canada,VMS,,,0.34,,1.79,
Oro Denoro,Canada,Skarn,,,42.46,,0.92,
Owen,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,0.09261,,0.27,
Pabineau River,Canada,VMS,,,0.36,,1.36,
Packsack,Canada,VMS,,,2.7,,0.5,
Parkin Offset,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,0.351,,0.7,
PD-1,Canada,VMS,,,1.55,,1.129677419,
Peak,Canada,Epithermal,Low sulphidation?,,0.00263,,5.0,
Perch River,Canada,VMS,,,1.0,,1.0,
Phelps Dodge (La Gauchetiere)-Caber,Canada,VMS,,,2.81,,1.052419929,
Phoenix (Tremblay-Twin Creek-Pit) Tailings,Canada,Tailings,Skarn,,13.17,,0.1035231587,
Pick Lake,Canada,VMS,,,1.46,,0.84,
Pike,Canada,VMS?,,,0.3,,0.5,
Pine,Canada,Porphyry,,,70.0,,0.15,
Pine Bay,Canada,VMS,,,1.2802,,2.52,
Point Leamington,Canada,VMS,Noranda-type,,19.367,,0.37,
Poison Mountain (Copper Creek / Fenton Creek),Canada,Porphyry,,,298.3,,0.2640060342,
Poirier,Canada,VMS,,,1.755307714,,1.587745551,
Poplar,Canada,Porphyry,Cu,,789.3,,0.1716647662,
Porphyry Mountain (Quebec),Canada,Porphyry,,,206.0,,0.73,
Pot Lake,Canada,VMS,,,0.1,,1.43,
Prairie Creek,Canada,Sediment-hosted Pb-Zn,MVT,,15.753,,0.3621162995,
Primer,Canada,Porphyry,,,23.0,,0.2,
Pusticamica Lake-Benoit (Benoist),Canada,VMS,,,0.481581,,0.27,
Québec-Chibougamau,Canada,VMS?,,,0.303912,,1.68,
Raglan,Canada,Magmatic Sulphide,Proterozoic Komatiite-related,,36.46,10.43,0.9306939111,0.76
Rambler-Ming,Canada,VMS,Noranda-type,,83.633,8.667,0.9263755934,1.79
Rea-Extra High (K-7),Canada,VMS,Kuroko-type,,0.375,,0.5,
Red Bird,Canada,Porphyry,,,200.9,,0.0612566451,
Red Chris,Canada,Porphyry,Cu,,1820.8,293.377121,0.3230508568,0.3557131666
Red Dog,Canada,Porphyry,,,25.0,,0.35,
Red Spring,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,4.98905,,0.5,
Redstone (Sudbury),Canada,Sediment-hosted Stratiform/Stratabound Cu,Archean Komatiite,,0.941355,0.204355,0.03,0.03
Redstone-Coates Lake (Yukon),Canada,Sediment-hosted Stratiform/Stratabound Cu,Cu-Ag,,33.6,,3.92,
Redwing,Canada,VMS,,,0.18144,,2.0,
Revenue,Canada,Porphyry,,,196.43,,0.09,
Ribago,Canada,VMS,,,0.48,,0.4,
Rich Lake-Zone Newmont,Canada,VMS,,,0.125193,,0.36,
River Valley,Canada,Magmatic Sulphide,Layered Intrusive,May also be Flood-basalt Related,127.25055,,0.06,
Rochon Lake,Canada,VMS,,,1.0,,1.97,
Rock and Roll (Rock & Roll),Canada,VMS,,,2.313908,,0.21,
Romer-Frederickson Lake,Canada,VMS,,,0.2531088,,0.77,
Romer-Jimmick Lake,Canada,VMS,,,0.0988848,,0.26,
Romer-Koke,Canada,VMS,,,1.06,,0.7,
Romer-Soucy #1,Canada,VMS,,,4.935168,,1.49,
Roughrider East/West (Cu zones only),Canada,Unconformity-related Uranium,,,0.2128,,0.6870488722,
Ruttan,Canada,VMS,,,17.148138,,1.23,
Salkeld,Canada,Epithermal?,,,0.10885,,1.45,
Schaft Creek (Liard),Canada,Porphyry,Cu-Mo,,1878.810282,940.81,0.2427688015,0.27
Scotia (BC),Canada,VMS,,,0.224,,0.2,
Scott Lake,Canada,VMS,,,5.447,,1.2,
Seneca,Canada,Epithermal,,,1.506239,,0.63,
Shakespeare ,Canada,Magmatic Sulphide,Layered Intrusive,May also be Flood-basalt Related,15.248000000000001,11.828,0.3739677334732424,0.35
Shebandowan West,Canada,VMS?,,,2.926,,0.9346616541353383,
Sherridon (Bob-Jungle-Cold-Lost),Canada,VMS,,,36.01,,0.596503749,
Shining Tree,Canada,Magmatic Sulphide,Layered Intrusive,May also be Flood-basalt Related,2.51,,0.36,
Shunsby,Canada,VMS,,,2.27,,1.2,
Silver Coin,Canada,Epithermal,,,1.669,,0.2611983223,
Silver King (incl. Stockpiles),Canada,Epithermal,includes Stockpiles,,0.068136,,1.704122344,
Silver Queen (Cole Lake),Canada,Epithermal,,,0.84224448,,0.2730386687,
Silver Queen (Wrinch),Canada,Epithermal,,,0.5776,,0.49,
Smith Copper (Zip),Canada,Skarn,,,0.083906,,1.67,
Snow Lake-Lon,Canada,VMS,,,0.25,,3.2,
Snow Lake-Rail,Canada,VMS,,,0.956895,,2.7,
Snow Lake-Talbot,Canada,VMS,,,2.5508,,2.5,
Snow Lake-Tower/T1,Canada,VMS,,,2.337708,,2.802829217,
Snowfield,Canada,Porphyry,,,2203.3,,0.08401216357,
Spout,Canada,Skarn,,,33.691337,,0.1828597541,
Stralak (East Zone),Canada,VMS,,,0.33,,0.32,
Stratmat,Canada,VMS,,,14.9,,0.5538926174,
Sturgeon Lake Group,Canada,VMS,,,7.263,,1.637777778,
Sudbury (Glencore),Canada,Magmatic Sulphide,Impact-related,Sudbury Event,43.53,11.0,1.961904434,1.61
Sudbury (KGHM),Canada,Magmatic Sulphide,Impact-related,Sudbury Event,17.566,0.486,0.9788842081,7.92
Sudbury (Vale),Canada,Magmatic Sulphide,Impact-related,Sudbury Event,76.4,76.4,1.61,1.61
Sue-Dianne,Canada,IOCG,,,10.064,,0.7983903021,
Sullipek,Canada,Skarn,,,0.5,,1.4,
Superjack,Canada,VMS,,,8.3014,,0.1544637049,
Susu Lake,Canada,VMS,,,0.13,,0.95,
Sustut,Canada,Sediment-hosted Stratiform/Stratabound Cu,,,7.971,,1.54,
Swim,Canada,Sediment-hosted Pb-Zn,,,4.3,,0.27,
"Tache Lake (Antoinette, Lac Berrigan)",Canada,VMS,,,0.64,,0.33,
Taylor Brook,Canada,VMS,,,3.492,,0.02511454754,
Terra Nova,Canada,VMS,,,0.45,,2.33,
Tetagouche-Armstrong A/B,Canada,VMS,,,3.865583,,0.3380293762,
Tetagouche-Rocky Turn,Canada,VMS,,,0.131,,0.28,
Tetagouche-Canoe Landing Lake,Canada,VMS,,,22.8,,0.56,
Tetagouche-McMaster,Canada,VMS,,,0.25,,0.75,
Thompson,Canada,Magmatic Sulphide,Proterozoic Komatiite-related,,20.6,20.6,0.1,0.1
Thor,Canada,VMS,,,1.063,,0.1397648166,
Thule,Canada,Skarn,,,1.29,,1.53,
Thunder Bay North-Current Lake,Canada,Magmatic Sulphide,Flood Basalt-related,,10.354000000000001,,0.27866042109329725,
Tillex,Canada,VMS,,,1.338,,1.56,
Tilt Cove,Canada,VMS,,,1.0,,1.0,
Tinta Hill,Canada,Epithermal,Low sulphidation,,2.95,,0.23,
Toad River,Canada,Porphyry?,,,0.09071,,4.5,
Tonnancour (Josselin),Canada,VMS,,,0.055,,2.0,
Tortigny,Canada,VMS,,,1.392,,1.361149425,
Tribag,Canada,Porphyry,,,165.0,,0.15,
Trinity,Canada,VMS,,,0.13,,1.18,
Troilus,Canada,Porphyry,,,98.05,,0.09385823559,
Trout Bay,Canada,VMS,,,0.13,,0.5,
Tulks Hill,Canada,VMS,,,0.431,,0.89,
Tulsequah Chief,Canada,VMS,Kuroko type,,6.362,4.435,1.40315624,1.46
Upper Beaver,Canada,Orogenic Au,,,15.706,,0.3863593531,
Upton,Canada,Sediment-hosted Pb-Zn,MVT,,1.30953,,0.15,
Vendôme (Mogador-Barvallée-Belfort),Canada,VMS,,,1.018102,,0.5906010989,
Vermillion,Canada,VMS,,,3.2,,1.31,
Victoria,Canada,Magmatic Sulphide,Impact-related,Sudbury Event,13.563,,2.596288432,
Vine-1,Canada,Epithermal,,,1.3,,0.11,
Voisey's Bay,Canada,Magmatic Sulphide,Troctolite-Anorthosite-Granite related,,36.1,36.1,1.05,1.05
Vortex-Sullipeck,Canada,Skarn,,,5.5,,0.88,
VW,Canada,Magmatic Sulphide,Proterozoic? Komatiite-related,,4.202776,,0.05,
Waterbury Lake,Canada,Unconformity-related Uranium,,,0.696689,,0.01343054074,
Wellgreen,Canada,Magmatic Sulphide,Flood Basalt-related,,1176.4180000000001,,0.13944690237653623,
Werner Lake-Big Zone,Canada,Magmatic Sulphide,Layered Intrusive,,0.1563976512,,0.26,
West Ansil,Canada,VMS,,,1.129936,,3.312000281,
West Graham-Conwest (Lockerby),Canada,Magmatic Sulphide,Impact-related,Sudbury Event,10.82,,0.308650647,
Whitehorse,Canada,Skarn,,,3.059,,0.95,
Wim,Canada,VMS,,,3.223,,1.826528079,
Wolverine,Canada,VMS,,,6.154,5.152,1.179257394,0.91
Woodjam North/South,Canada,Porphyry,,,268.6,,0.2962285927,
Yava,Canada,VMS?,,,1.3,,1.03,
Z,Canada,VMS,,,0.14,,1.11,
Zulapa (Ni-Cu),Canada,Magmatic Sulphide,Intrusion-related,,1.69,,0.48,
Andacollo,Chile,Porphyry-IOCG,"Cu, Kiruna-type",,631.6,418.3,0.3200934136,0.3399545781
Andina,Chile,Porphyry,Cu,,21746.0,986.0,0.6157518624,0.75
Antakena (Madrugador y Elenita),Chile,Manto-Cu,,,38.141,,0.77849532,
Antucoya,Chile,Porphyry,Cu,,1255.1,686.6,0.31,0.34
Aurum-Tabaco,Chile,Porphyry?,,,5.5984,,0.6029494141,
Barreal Seco,Chile,IOCG,,,110.282,,0.5166813261,
Blanco Y Negro (ByN),Chile,Epithermal?,,,1.5,,1.4,
Brujulina,Chile,Porphyry,Exotic; porphyry related,,65.0,,0.59,
Candelaria-Ojos del Salado,Chile,IOCG,,,726.289,455.183,0.6921305431,0.5932233849
Carmen,Chile,IOCG,,,46.0,,0.34,
Caserones,Chile,Porphyry,,,1350.0,1350.0,0.32,0.32
Caspiche (Cu-Au-Ag only),Chile,Porphyry,,,1477.7,,0.1908100426,
Casualidad-Virgo,Chile,IOCG,,,400.0,,0.55,
Centinela,Chile,Porphyry,,,3553.4,1840.4,0.3828510722,0.44
Cerro Casale,Chile,Porphyry,Au,,1197.602667,1197.602667,0.2190951657,0.2190951657
Cerro Colorado (Chile),Chile,Porphyry,Cu,,405.0,153.0,0.573037037,0.5847058824
Chépica-Salvadora,Chile,Porphyry,,,0.444847,,0.5563149352,
Chuquicamata,Chile,Porphyry,Cu-Mo,,15153.0,1401.0,0.4343892299,0.73
Codelco Miscellaneous,Chile,Porphyry,,,2600.0,,0.3094115385,
Collahuasi,Chile,Porphyry,Cu-Mo,,9978.0,3122.8,0.8106684706,0.844237223
Copper Bay-Chañaral Beach Tailings,Chile,Tailings,Porphyry,,51.183,,0.242345349,
El Abra,Chile,Porphyry,Cu,,3266.0,399.0,0.4350734844,0.4349122807
El Espino-Venus,Chile,IOCG,,,230.2,,0.4496828844,
El Morro (La Fortuna),Chile,Porphyry,Cu,,1369.473,599.0,0.4176252252,0.4944674457
El Salado,Chile,Porphyry,,,0.015,,1.57,
