Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Pb,%Zn,g/t Ag,%Cu,g/t Au
Fuwan-Changkeng,China,Epithermal,Low sulfidation?,C,Minco Silver,Ann Info Form 2013,27.265,0.23,0.64,179,,0.23
Huangshaping,China,Skarn,,NC,unknown,Li et al (2016),22.43,3.60,8.00,,,
Huayuan Fenghuang,China,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),50,,3.40,,,
Inner Mongolia Sanguikou,China,Sediment-hosted Pb-Zn,Sedex,C,Zijin Mining,Ann Rep 2013,133,0.50,2.25,,,
Jiama,China,Porphyry,Porphyry with skarn,C,China Gold International Resources Corp,Website (2014-10-26),"1,449.0",0.05,0.03,5.0,0.44,0.10
Jiawula,China,Epithermal,,NC,"Naneco Minerals, Vina Mineral Res, Hullunbeir",ILZSG database (2016-07-12),5.0,3.30,5.20,125,,0.40
Liziping,China,Sediment-hosted Pb-Zn,Sedex?,C,China Polymetallic Mining,Ann Rep 2013,1.20,8.07,3.88,200,0.89,
Menghu,China,Sediment-hosted Pb-Zn,Sedex?,C,China Polymetallic Mining,Ann Rep 2013,0.233,13.80,7.80,,,
Mengya,China,Skarn,,NC,MCC,ILZSG database (2016-07-12),2.0,10,10,,0.50,
Nonggeshan,China,Skarn?,,C,MCC JV,Tech Rep (2009-07),20.42,1.80,1.40,16.60,,
Qiandongshan,China,Sediment-hosted Pb-Zn,MVT,NC,"Marshall Minerals, CNMI, Quinsun",ILZSG database (2016-07-12),25.0,1.80,7.70,,,
Qinghai Deerni,China,VMS,,C,Zijin Mining,Ann Rep 2013,20.60,,0.40,,1.16,
Shizishan,China,Skarn,,C,China Polymetallic Mining,Ann Rep 2013,8.502,9.40,6.0,256.0,,
Xietongmen,China,Skarn,,C,Continental Minerals,Tech Rep (2009-05),219.80,,0.08,3.81,0.43,0.61
Xinjiang Ashele,China,VMS,,C,Zijin Mining,Ann Rep 2013,35.20,,0.85,,2.03,
Xinjiang Wulugentashi,China,Skarn?,,C,Zijin Mining,Ann Rep 2013,136.40,0.48,2.46,,,
Ying Group,China,Mesothermal Vein,with Orogenic Au,C,Silvercorp Metals,Tech Rep (2014-07),21.54,3.52,1.15,242,,0.08
Berlin,Columbia,Sediment-hosted mixed,,C,U3O8 Corp,MDA 2011,8.70,,2.8,3.4,,
Matahambre,Cuba,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),14.80,0.24,0.51,,4.39,
Victoria,Cuba,VMS,,NC,unknown,Russell et al (undated),0.54,0.13,0.26,,,
Santa Lucia Castellanos,Cuba,Sediment-hosted Pb-Zn,Sedex,NC,Trafigura,ILZSG database (2016-07-12),12,3.20,2.40,43,,
Kipushi,Dem. Rep. Congo,Sediment-hosted Pb-Zn,MVT?,NC,Ivanhoe Mines,Tech Rep (2012-09),25.975,,19.04,,2.18,
Sable Zinc Kabwe Tailings,Dem. Rep. Congo,Sediment-hosted Pb-Zn Tailings,MVT?,TC,formerly Metorex,Ann Rep 2010,5.30,,4.90,,,
Bayaguana Group,Dom. Rep.,Epithermal,High sulfidation,NC,Perilya,Tech Rep (2006-01),2.495,,0.89,2.54,1.65,0.50
Cerro de Maimón,Dom. Rep.,VMS,,C,Perilya,Tech Rep (2012-08),7.510,,1.42,32.3,2.04,0.86
Las Animas,Dom. Rep.,VMS,,C,GoldQuest Mining Corp,Tech Rep (2013-08),1.45,,3.21,45.7,2.45,2.47
Romero-Romero South,Dom. Rep.,Epithermal,Intermediate sulfidation,C,GoldQuest Mining Corp,Tech Rep (2013-12),57.55,,0.32,3.5,0.36,1.41
Curipamba-El Domo,Ecuador,VMS,,C,Salazar Resources,Tech Rep (2014-04),9.96,0.23,2.72,50.8,2.03,2.62
Abu Marawat,Egypt,Orogenic Au,,C,Alexander Nubia,Website (2014-10-26),2.90,,1.15,29.3,0.77,1.75
Umm Gheig,Egypt,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),1.50,1.30,11,,,
Asmara-Adi Nefas,Eritrea,VMS,,C,Sunridge Gold Corp,Tech Rep (2013-08),1.84,,10.05,115,1.78,3.31
Asmara-Debarwa,Eritrea,VMS,,C,Sunridge Gold Corp,Tech Rep (2013-08),3.99,,0.99,27,2.42,1.65
Asmara-Emba Derho,Eritrea,VMS,,C,Sunridge Gold Corp,Tech Rep (2013-08),85.03,,1.29,8.6,0.67,0.23
Bisha,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,30.28,,4.28,41,1.67,0.8
Hambok,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,6.88,,1.85,10,1.14,0.2
Harena,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,2.24,,3.78,24,0.64,0.8
Northwest,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,4.25,,0.66,13,1.01,0.82
Huatalampi,Finland,VMS,,C,Altona Mining,Ann Rep 2013,3.16,,0.08,,0.36,
Kainuu-Rautavaara,Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,FinnAust Mining (Magnus Minerals-Western Areas),Website (2014-10-26),34.40,,0.38,,0.10,
Kettukumpu,Finland,VMS,,NC,unknown,Geol Survey Finland,0.40,,0.10,,0.44,
Kylylahti,Finland,VMS,,C,Altona Mining,Ann Rep 2013,7.70,,0.52,,1.31,0.68
Perttilahti,Finland,VMS,,NC,unknown,Geol Survey Finland,1.32,,1.89,,2.15,
Pyhäsalmi,Finland,VMS,,C,First Quantum,Ann Info Form 2013,14.61,,1.13,14.0,0.83,0.40
Rauhala,Finland,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.70,0.96,4.97,53,1.33,
Rautavaara,Finland,IOCG,,C,"FinnAust Mining (formerly Western Areas, Magnus Minerals)",Website (10-01-2013) (FinnAust Mining),34.40,,0.38,,0.10,
Riihilahti,Finland,VMS,,NC,unknown,Geol Survey Finland,0.70,,0.09,,0.72,0.30
Saramäki,Finland,VMS,,C,Altona Mining,Ann Rep 2013,3.40,,0.63,,0.71,
Sykäräinen,Finland,VMS?,,NC,unknown,Geol Survey Finland,0.20,,0.25,52,1.95,
Talvivaara (Kolmisoppi/Kuusilampi),Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,Talvivaara,Ann Rep 2012,"2,052.8",,0.50,,0.13,
Vuonos,Finland,VMS,,C,Altona Mining,Ann Rep 2013,0.76,,1.33,,1.76,
Arrens,France,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),4,3.50,3.50,,,
Trèves,France,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.06,1.40,6,20,,
Amtkeli,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,0.29,2.36,3.80,,,
Brdzyshra,Georgia,Sediment-hosted Pb-Zn,MVT,C,unknown,NATO Sci 2002 v17,0.25,1.20,1.00,,,
Dambludi,Georgia,Epithermal,High sulphidation,C,unknown,NATO Sci 2002 v17,1.87,2.67,5.31,30.10,0.76,1.90
David Garedji,Georgia,Epithermal,High sulphidation,C,unknown,NATO Sci 2002 v17,2,2.50,5,15,0.80,2.50
Kvaisi,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,2.85,2.24,6.47,15.40,,
Madneuli,Georgia,Epithermal,High sulphidation,C,unknown,NATO Sci 2002 v17; Migineishvili 2005,93.07,0.62,4.09,9.20,1.28,1.80
Merisi Group,Georgia,Porphyry,,C,unknown,NATO Sci 2002 v17,3.27,1.80,1.40,18.70,2.84,0.70
Razdarankom,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,0.34,1.50,1.00,,,
Rtskhmeluri,Georgia,Epithermal?,,C,unknown,NATO Sci 2002 v17,0.26,1.61,2.67,,,
Skatykom,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,0.17,6.81,,,,
Zeshko,Georgia,VMS,May also be Sedex?,C,unknown,NATO Sci 2002 v17,22.88,,1.67,,3.50,
Tellerhäuser,Germany,Skarn,,C,Anglo Saxony Mining,Website (2015-12-28),32.20,,0.74,,,
Geyer Southwest,Germany,Skarn,,C,Tin International (Deutchse Rohstoff),Website (2015-12-28),11.60,,0.47,,,
Olympias,Greece,Skarn,,C,Eldorado Gold,Form-40F 2013,20.92,4.3,5.5,127,,8.36
Stratoni,Greece,Skarn,,C,Eldorado Gold,Form-40F 2013,1.83,7.3,10.1,192,,
Ark,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,0.49,2.20,4.70,,,
Black Angel,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,4.43,3.0,8.60,17.90,,
Blyklippen,Greenland,Sediment-hosted Pb-Zn,MVT,NC,Ironbark Zinc,Thomassen (2005),0.22,2.10,9.30,,0.70,
Citronen,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Ironbark Zinc,Ann Rep 2013-14,132.0,0.40,4.0,,,
Kvanefjeld,Greenland,Magmatic Alkaline Intrusive,Layered alkaline complex,C,Greenland Energy & Minerals,Ann Rep 2013,956,,0.235,,,
Nunngarut,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,0.20,3.40,9.0,,,
South Lakes,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,1.70,2.50,6.90,,,
Holly-Banderas (HB)-Escobal,Guatemala,Epithermal,Low sulfidation,C,Radius Gold,Website (2014-10-26),31.70,0.66,1.19,398,,0.45
Torlon Hill,Guatemala,Manto,Oxide Zinc - IOCG? ,C,Firestone Ventures,Tech Rep (2008-12),2.174,2.37,6.88,14.0,,
El Mochito,Honduras,Skarn,,C,Nyrstar,Reserves-Resources 2013,6.42,2.27,5.57,62.7,,
Ajari,India,VMS,,NC,Indo Gold,Website (2014-10-26),0.10,,3.50,42,0.80,0.52
Ambaji,India,Sediment-hosted Pb-Zn,MVT,NC,RBG Minerals (Binani Industries),ILZSG database (2016-07-12),8.80,3.10,4.20,,1.60,
Ambamata,India,Sediment-hosted Pb-Zn,Sedex,NC,Indo Gold,Website (2014-10-26),8.30,6,6,,2,
Askot,India,VMS,,C,Pebble Creek Mining,Tech Rep (2008-09),2.01,3.69,5.71,35,2.55,0.48
Bajta Central,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.22,2.57,3.84,,,
Ballaria,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),16,1.17,5.85,,,
Bamnai Kalan,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,16.30,1.7,4.0,59,,
Baroi,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),7,4.60,1.71,,,
Basantgarh,India,VMS,,NC,Indo Gold,Website (2014-10-26),3.50,,1.30,,1.70,
Bethumni,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.23,1.64,1,,,
Bhilwara,India,Sediment-hosted Pb-Zn,Sedex,C,unknown,IMYB 2013,7.10,0.86,1.40,,0.36,
Danva,India,VMS,,NC,Indo Gold,Website (2014-10-26),0.30,0.50,6.40,,1.40,
Deri,India,Sediment-hosted Pb-Zn,Sedex,NC,Indo Gold,Website (2014-10-26),1,5.40,7.30,,2,
Devpura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),17.49,0.44,1.84,,,
Ganeshpura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.77,2.68,,,,
Gorubathan,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),2.79,4,4.23,62,0.10,
Kalabar,India,VMS,,NC,Indo Gold,Website (2014-10-26),1,,6.70,,0.40,
Kankariya,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),9.01,2.56,3.22,,,
Kayad,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,7.70,1.5,10.6,32,,
Kolari,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),8.20,,6.80,,,
Madarpura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),6.60,,5.51,,,
Mochia,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,27,1.69,3.79,,,
Mokanpura North,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,40,0.60,2.40,,,
Paduna North Block,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),3.14,0.67,3.25,,,
Pipela,India,VMS,,NC,Indo Gold,Website (2014-10-26),0.60,,1.80,50,1.80,
Rajpura Dariba,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,54.20,2.0,6.9,75,0.15,0.28
Rampura Agucha,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,109.40,2.0,12.8,59,,
Rangpo,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.56,1.10,2.60,,1.10,
Rewara,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.20,5.40,0.40,,0.70,
Saladipura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),115,,1,,,
Samodi,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),3.69,1.37,1.85,,,
Sargipali,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),2,5.94,,,,
Sawar,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.90,2.54,1.45,,,
Sindesar Khurd,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,99.10,2.6,4.3,134,,
South Dedwas,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),18.38,0.79,1.30,21,,
Tikhi,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.47,1.90,2.59,,,
Tiranga,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.15,1.75,1.13,,,
Zawar,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,78.50,2.1,4.8,49,,
Dairi-Anjing Hitam,Indonesia,Sediment-hosted Pb-Zn,Sedex,C,"Bumi Resources, PT Antam",Ann Rep 2013,8.11,9.10,14.60,12,,
Dairi-Base Camp,Indonesia,Sediment-hosted Pb-Zn,Sedex,C,"Bumi Resources, PT Antam",Ann Rep 2013,0.83,5.0,5.0,14,,
Dairi-Lae Jahe,Indonesia,Sediment-hosted Pb-Zn,Sedex,C,"Bumi Resources, PT Antam",Ann Rep 2013,16.18,4.50,8.20,,,
Atlantis II,International,VMS,Seafloor Massive sulfide,NC,Diamond Fields International,Website (2016-07-14),89.50,,2.06,38.40,0.45,
Angouran,Iran,Sediment-hosted Pb-Zn,Sedex,NC,IMIDRO,Daliran et al 2013,22.23,4.0,30.3,90,,
Anjireh-Vejin,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),1.16,2.75,5.59,,,
Emarat,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ehya et al 2010,10,2.26,6,,,
Heyder Abad,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Bazargani-Guilani et al 2011,0.12,8,1,,,
Irankuh,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),10,2.40,7.40,,,
Kuh-e-Surmeh,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.90,5.40,12.10,,,
Kushk,Iran,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),4,3,10,,,
Mehdiabad,Iran,Sediment-hosted Pb-Zn,Sedex/MVT?,C,Mawarid Mining,Ann Rep 2012 (UCL Res.),394,1.60,4.20,36,,
Nakhlak,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Jazi et al (2016),7,8.33,0.38,72,,
Reza Barak,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Bazargani-Guilani et al 2011,0.15,7,2.50,,,
Allenwood West,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Tech Rep 2010 (Rathdowney Res.),10.10,0.40,1.60,,,
Ballinalack,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,7.83,1.10,6.80,27,,
Courtbrown,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,1,2.0,3.50,14,,
Garrycam,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,1.35,0.18,2.67,,,
Harberton Bridge,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,3.70,1.10,8.80,10,,
Keel,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,1.85,1.04,7.71,39.60,,
Lisheen,Ireland,Sediment-hosted Pb-Zn,MVT,C,Vedanta,Ann Rep 2013-14,3.80,2.10,12.56,,,
Moyvoughly,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,0.13,2.7,5.3,,,
Oldcastle,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Tech Rep 2010 (Rathdowney Res.),3.0,0.60,4.30,11,,
Pallas Green,Ireland,Sediment-hosted Pb-Zn,MVT,C,Glencore Xstrata,Reserves-Resources 2013,42,1,7,,,
Rickardstown,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,3.50,1.10,2.20,,,
Silvermines,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,6.89,3.8,7.7,70,0.60,
Tara (Navan),Ireland,Sediment-hosted Pb-Zn,MVT,C,Boliden,Ann Rep 2013,26.40,1.8,6.8,,,
Tatestown,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,3.60,2.3,4.6,,,
Alaigyr (Alaigir),Kazakhstan,VMS?,,NC,"Tau-Ken Samruk, Radington Industrial Consulting",ILZSG database (2016-07-12),50,5,,40,,
Central Region (formerly Karaganda),Kazakhstan,Porphyry and VMS deposits,,C,Kazakhmys (now KAZ Minerals),Ann Rep 2013,"5,396.8",,0.01,1.39,0.40,0.08
Chashinskoye Tailings,Kazakhstan,VMS? Tailings,,TC,Glencore Xstrata / KazZinc,Reserves-Resources 2013,88,0.2,0.43,5.1,0.05,0.6
Dolinnoe,Kazakhstan,VMS?,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,3.01,1.40,2.76,118,0.4,7.9
East Region,Kazakhstan,VMS?,,C,Kazakhmys (now KAZ Minerals),Ann Rep 2013,91.81,0.87,3.64,55.49,1.86,0.87
Maleevsky,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,22.60,1.37,7.26,71.6,2.2,0.6
Novo-Leninogorskoye,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,40,1,4,33,0.20,2
Obruchevskoe,Kazakhstan,VMS?,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,5.16,3.35,8.50,74.8,1.12,1.5
Ridder-Sokolny,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,41.40,0.57,1.32,23.5,0.8,1.8
Shaimerden Stockpile,Kazakhstan,VMS?,Non-sulfide Zinc,SC,Glencore Xstrata / KazZinc,Reserves-Resources 2013,2.0,,22,,,
Shalkiya,Kazakhstan,Sediment-hosted Pb-Zn,Sedex,C,ShalkiyaZinc,Website (2014-10-26; translated),274,0.8,3.1,,,
Shubinsky,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,3.85,0.44,2.15,14.6,1.2,0.5
Staroye Tailings,Kazakhstan,VMS? Tailings,,TC,Glencore Xstrata / KazZinc,Reserves-Resources 2013,6.70,0.34,0.64,11.4,0.04,1.0
Talap,Kazakhstan,Sediment-hosted Pb-Zn,Sedex,C,ShalkiyaZinc,Website (2014-10-26; translated),11.14,2.35,4.71,,,
Tishinksy,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,17.80,0.97,4.48,11.9,0.4,0.6
Tishinsky Tailings,Kazakhstan,VMS Tailings,,TC,Glencore Xstrata / KazZinc,Ann Rep 2012 (note: not reported in 2013),1.15,0.44,2.26,5.1,0.2,0.4
Zhairem,Kazakhstan,Sediment-hosted Pb-Zn,,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,20,2,5,,0.50,
Bumbo,Kenya,Sediment-hosted Pb-Zn,Sedex,C,"African Barrick Gold-51%, Lonmin-49%",Ann Rep 2012 (Aviva Corp),1.58,,4.50,33.77,2.08,0.56
Boz Emchek,Kyrgyzstan,Skarn,,NC,unknown,data Kyrgyz Investment Group,17.84,4.0,4.30,13.20,1.14,1.93
Mironovskoye,Kyrgyzstan,Skarn?,,C,Chaarat Gold Holdings,Website (2014-10-26),1.582,0.52,,48.05,1.49,
Kasi,Laos,Sediment-hosted Pb-Zn?,MVT?,C,Padaeng Industries,Ann Rep 2013,0.90,1.90,9,,,
Lamphun,Laos,Sediment-hosted Pb-Zn,MVT,C,Padaeng Industries,Ann Rep 2013,2.10,1.20,7.20,,,
Angangueo,Mexico,Epithermal,High to intermediate sulfidation,C,Southern Copper Corp (Grupo Mexico),Form 10K 2013,6.64,0.44,2.63,,1.39,
Bahuerachi,Mexico,Porphyry-Skarn,,C,Jinchuan,Tech Rep (2007-11; Tyler Res.),604.69,,0.53,3.91,0.39,0.03
Bilbao,Mexico,Skarn,,C,Xtierra,Tech Rep (2011-05),11.05,1.99,2.10,53.5,0.19,
Bismark,Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,6.14,0.55,6.11,40.3,0.32,
Boleo,Mexico,Skarn-Manto,,C,"Baja Mining, KORES",Tech Rep 2010-03,424.53,,0.66,,0.65,
Bolivar Group,Mexico,Skarn,,C,Sierra Metals (formerly Dia Bras Expl'n),Tech Rep (2013-05),34.66,,0.75,14.9,0.79,0.2
Buenavista Zinc,Mexico,Skarn?,,C,Grupo Mexico / SCC,Form 10K 2013,36,,3.30,29,0.69,
Camino Rojo,Mexico,Skarn,,C,Goldcorp,Ann Rep 2013,363.98,0.08,0.26,8.4,,
Campo Morado Group,Mexico,VMS,,C,Nyrstar,Reserves-Resources 2013,19.10,0.87,3.69,112,0.72,1.53
Capire-Aurora 1,Mexico,VMS,,C,Impact Silver Corp,Tech Rep (2011-01),5.283,0.34,0.87,45.1,0.06,0.19
Cerro Prieto,Mexico,Epithermal,overprints mesothermal mineralisation,C,Goldgroup Mining,Tech Rep (2013-06),23.16,0.23,0.65,13.0,,0.49
Chalchihuites,Mexico,Epithermal,,C,Grupo Mexico / SCC,Form 10K 2013,16,0.36,3.08,95,0.69,
Cieneguita,Mexico,Epithermal,,C,Pan American Goldfields,Tech Rep (2013-11),57.96,0.15,0.24,31.5,,0.46
Cinco de Mayo (Upper Manto),Mexico,Skarn,,C,MAG Silver Corp,Tech Rep (2012-11),14.93,2.55,5.77,117,,0.23
Cordero,Mexico,Porphyry,,C,Levon Resources,Tech Rep (2014-10),940.62,0.248,0.464,17.6,,0.048
Cozamin Group,Mexico,Epithermal-Mesothermal,Intermediate sulfidation?,C,Capstone Mining,Ann Info Form 2013,17.06,0.27,1.35,46,1.32,
Cusi Group,Mexico,Epithermal,,C,Sierra Metals (formerly Dia Bras Expl'n),Tech Rep (2013-08),4.617,0.20,0.18,172.2,,0.063
Del Toro,Mexico,Skarn,,C,First Majestic Silver Corp,Website (2014-10-26),17.393,2.5,3.6,137,,0.07
El Tecolote (Reyna del Cobre) Tailings,Mexico,Skarn Tailings,,TNC,Azure Minerals,Website (2015-02-24),1,,2.30,21,0.40,
Francisco I Madero,Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,47.23,0.74,2.17,20.7,0.07,
Fresnillo-San Julián,Mexico,Epithermal,Intermediate sulfidation,C,Fresnillo,Ann Rep 2013,21.30,0.55,1.42,189,,0.07
La Arista-El Aguila,Mexico,Epithermal,,C,Gold Resource Corp,Tech Rep (2012-07),4.48,1.2,4.1,210,0.32,2.1
La Colorada,Mexico,Epithermal,Low sulfidation,C,Pan American Silver Corp.,Ann Info Form 2013,11.50,1.17,2.05,330,,0.36
La Encantada,Mexico,Sediment-hosted Pb-Zn,MVT,C,First Majestic Silver Corp,Website (2014-10-26),9.588,1.6,2.4,204,,
La Encantada Tailings,Mexico,Sediment-hosted Pb-Zn Tailings,MVT,TC,First Majestic Silver Corp,Website (2014-10-26),5.305,0.6,0.2,105,,
La Frazada,Mexico,Epithermal,,C,First Majestic Silver Corp,Tech Rep (2009-01),1.12,0.89,2.53,238.3,0.091,0.17
La Negra,Mexico,Skarn,,C,Aurcana Corp,Tech Rep (2013-05),40.30,0.90,2.29,129.8,0.44,
La Parilla,Mexico,Skarn,,C,First Majestic Silver Corp,Website (2014-10-26),19.156,1.2,1.4,169,,0.01
Los Gatos,Mexico,Epithermal,,C,Sunshine Silver Mines,Tech Rep (2012-12),25.49,1.3,2.7,116,0.1,0.16
Metates,Mexico,Skarn,,C,Chesapeake Gold Corp,Tech Rep (2013-11),1.247,,0.16,13.5,,0.50
Miguel Auza,Mexico,Epithermal,High and low sulphidation,NC,Excellon Resources,ILZSG database (2016-07-12),2.0,2.20,2.30,137,,0.20
Minera Ciénega,Mexico,Epithermal,Low sulfidation,C,Fresnillo,Ann Rep 2013,31.75,0.54,0.95,141,,1.58
Minera Fresnillo (underground),Mexico,Epithermal,Low sulfidation,C,Fresnillo,Ann Rep 2013,69.49,1.45,2.82,358,,0.75
Minera Juanicipio,Mexico,Epithermal,,C,"Fresnillo-56%, MAG Silver Corp-44%",Ann Rep 2013 (Fresnillo),8.02,1.92,3.49,447,,1.75
Minera Parreña-Guachichil,Mexico,Epithermal?,Low sulfidation?,C,Fresnillo,Ann Rep 2013,44.25,0.11,0.17,10,,0.68
Minera Parreña-Leones,Mexico,Epithermal?,Low sulfidation?,C,Fresnillo,Ann Rep 2013,7.05,1.46,1.27,113,,0.01
Minera Parreña-Lucerito,Mexico,Epithermal?,Low sulfidation?,C,Fresnillo,Ann Rep 2013,162.72,0.26,0.41,28,,0.39
Minera Saucito,Mexico,Epithermal,Intermediate sulfidation,C,Fresnillo,Ann Rep 2013,44.39,1.37,2.39,363,,1.44
Naica,Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,13.54,2.19,5.18,93.0,0.09,0.04
Namiquipa,Mexico,Epithermal,Low/Intermediate sulfidation,C,Santana Minerals,Tech Rep (2012-11),7.60,0.88,1.54,79.0,,
Nuestra Señora,Mexico,Skarn,,C,Scorpio Mining Corp,Tech Rep (2013-05),4.45,0.81,1.60,92.2,0.26,
Peñasquito (mill),Mexico,Skarn,,C,Goldcorp,Ann Rep 2013,851.37,0.30,0.83,30.7,,0.48
Pitarrilla,Mexico,Epithermal,Intermediate sulfidation,C,Silver Standard,Ann Info Form 2013,282.40,0.31,0.70,81.3,,
Platosa,Mexico,Manto/Skarn/Epithermal?,,C,Excellon Resources,Tech Rep (2011-11),0.71,9.18,10.66,854,,
