Country,Project,Location,,Company,Mineral Resources (including reserves),,,,,,Source,Mineral,Mineral,Mineral,Mineral
Brazil,Morro Sem Bone-Morro do Leme,,,GK Resources,0,,0,,58.003,1.77,media (12 Sept 2019),Laterite,Hydrous Mg silicate-oxide,,
Brazil,Vermelho,,,Horizonte Minerals,185.6,0.96,7.7,0.88,3.8,0.87,media (9 May 2018),Laterite,Oxide-Hydrous Mg silicate,Oxide-Mg silicate,
Brazil,Jacaré,,,Anglo American,6.3,1.15,93.4,1.33,206.9,1.26,ResV-ResC 2018,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Brazil,Serra do Quatipuru,,,unknown,0,,0,,13,1.3,Tech Rep (2010-01),Laterite,Oxide-Hydrous Mg silicate,,
Brazil,Santa Rita,,,"Atlantic Nickel, Appian Capital",13.167,0.25,46.006,0.2,0.045,0.16,media (28 Oct 2019),Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,
Brazil,Caboclo dos Mangueiros,,,unknown,0,,0,,200,0.2,Matos & Ferreira Filho (2018),Magmatic Sulphide,Layered Intrusive,,
Brazil,Americano do Brasil,,,"Votorantim, Prometalica (?)",0,,0,,3.09,1.12,Mota-e-Silva et al (2011),Magmatic Sulphide,Layered Intrusive,,
Brazil,Pedra Branca (PGEs),,,ValOre Metals Corp,0,,0,,27.2,0.18,Tech Rep (2019-08),Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,
Brazil,Limoeiro,,,Votorantim (?),0,,0,,35,0.25,Mota-e-Silva et al (2015),Magmatic Sulphide,Small M-UM Intrusion-related,,
Burundi,Nyabikere,,,unknown,0,,0,,46,1.45,Evans et al (2016),Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Burundi,Waga,,,unknown,0,,0,,38,1.38,Evans et al (2016),Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Burundi,Musongati,,,Burundi Mining & Metallurgy,0,,46.84,1.59,103.34,1.19,Tech Rep (2011-07),Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,
Cameroon,Nkamouna-Mada,,,Geovic Mining Corp,59.805,0.68,54.169,0.63,202.6,0.59,Tech Rep (2011-06),Laterite,Oxide-clay silicate,Oxide-clay silicate,
Canada,Decar-Baptiste,,,FPX Nickel Corp,0,,"1,906.60",0.121,504.9,0.097,Tech Rep (2018-02),Hydrothermal Ni,Fe-Ni alloy,Serpentinisation-related mineralisation,Awaruite deposit
Canada,Old Nick,,,Huakan Int'l Mining,0,,0,,30.5,0.16,Tech Rep (2007-07),Hydrothermal Ni,Sediment-hosted Pb-Zn,VMS,
Canada,Buckton-Buckton South,,,DNI Metals,0,,271.9,0.007,"4,937.10",0.007,"Tech Rep's (2013-03, 2014-01)",Hydrothermal Ni,Shale-hosted Ni,Sediment-hosted Pb-Zn/VMS,Sedex/VMS
Canada,Roughrider East/West,,,Rio Tinto,0,,0.3942,0.02,0.1616,0.14,Tech Rep (2011-09),Hydrothermal Ni,Unconformity-related Uranium,,
Canada,Waterbury Lake,,,Fission Energy,0,,0.458,0.04,0.239,0.02,Tech Rep (2013-01),Hydrothermal Ni,Unconformity-related Uranium,,
Canada,Turnagain,,,Giga Metals Corp,360.913,0.23,712.406,0.215,"1,142.10",0.22,media (19 Sept 2019),Magmatic Sulphide,Alaskan-type Complex,Alaskan-type Complex,
Canada,Alexo-Kelex,,,Tartisan Nickel,0,,0.473,0.96,0.066,0.82,Tech Rep (2012-08),Magmatic Sulphide,Archean Komatiite,,
Canada,Crawford,,,Canada Nickel Company,204.9,0.24,395.5,0.26,310.5,0.23,Tech Rep (2020-04),Magmatic Sulphide,Archean Komatiite,,
Canada,Dumont,,,RNC Minerals,372.1,0.28,"1,293.50",0.26,499.8,0.26,Tech Rep (2019-07),Magmatic Sulphide,Archean Komatiite,,
Canada,Dundonald,,,Class 1 Nickel,0,,0,,0.116,3.16,Tech Rep (2009-01),Magmatic Sulphide,Archean Komatiite,,
Canada,Grasset,,,Balmoral Resources,0,,15.564,0.72,2.999,0.43,Tech Rep (2016-01),Magmatic Sulphide,Archean Komatiite,,
Canada,Junior Lake-B4-7 / Alpha,,,Landore Resources,0,,3.292,0.62,0.568,0.61,Tech Rep (2018-01),Magmatic Sulphide,Archean Komatiite,,
Canada,Junior Lake-VW,,,Landore Resources,0,,1.084,0.63,0.18,0.6,Tech Rep (2018-01),Magmatic Sulphide,Archean Komatiite,,
Canada,Marbridge-Cubric,,,Class 1 Nickel,0,,0,,0.2,0.85,Tech Rep (2007-07),Magmatic Sulphide,Archean Komatiite,,
Canada,Shaw Dome-Hart,,,Northern Sun Mining,0,,1.546,1.4,0.322,1.27,AIF 2013,Magmatic Sulphide,Archean Komatiite,,
Canada,Shaw Dome-McWatters,,,Northern Sun Mining,0,,0,,0.793,0.81,Tech Rep (2009-12),Magmatic Sulphide,Archean Komatiite,,
Canada,Shaw Dome-Redstone,,,Northern Sun Mining,0.148,2.43,0.451,1.16,0.737,1.57,AIF 2013,Magmatic Sulphide,Archean Komatiite,,
Canada,Texmont,,,Fletcher Nickel (?),0,,0,,3.19,0.92,Tech Rep (2007-07),Magmatic Sulphide,Archean Komatiite,Archean Komatiite,
Canada,Denison,,,Lonmin,0,,0.575,0.4,0.382,0.51,Wallbridge Mining data,Magmatic Sulphide,Impact-related,Sudbury Event,
Canada,Nickel King (Thye Lake),,,Strongbow Exploration,0,,14.082,0.35,43.974,0.31,Tech Rep (2010-06),Magmatic Sulphide,Impact-related,,
Canada,Owen,,,Sudbury Platinum,0,,0,,0.093,0.53,website (7 Nov 2019),Magmatic Sulphide,Impact-related,,
Canada,Sudbury Group (Glencore),46.58103,-80.79985,Glencore,5.68,1.59,23.25,2.1,25,0.9,ResV-ResC 2018,Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury Group (Vale),46.49230,-81.06776,Vale,20.9,1.65,40.8,1.27,0,,Form 20F 2018,Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Aer-Kidd,46.39759,-81.42692,Sudbury Platinum,0,,0,,0.661,0.57,Pres. (2019-04),Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Lockerby / Conwest,46.42380,-81.38751,Transition Metals Corp,0,,9.741,0.63,2.57,0.7,AIF 2014,Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Parkin Offset,46.80500,-80.87806,"Wallbridge Mining, Glencore",0,,0.264,0.65,0.087,0.4,AIF 2018,Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Podolsky (KGHM),46.77810,-80.87570,KGHM International,0.42,0.36,6.7,0.72,0.32,0.32,AIF 2010,Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Lockerby East,46.42380,-81.38751,Sudbury Platinum,0,,0.18,2.32,0.04,2.93,Pres. (2019-04),Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Nickel Lake / Foy Offset,46.74104,-81.13276,unclear - KGHM?,0,,1.56,0.94,0.8,1.17,Tech Rep (2009-03),Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Victoria (KGHM),46.42380,-81.38751,KGHM International,0,,0,,14.2,2.5,KGHM Presentation (undated),Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-Kirkwood (KGHM),46.56702,-80.89786,KGHM International,0,,0.56,1.17,1.59,1.27,AIF 2010,Magmatic Sulphide,Impact-related,Impact-related,
Canada,Sudbury-West Graham,46.41797,-81.31286,"Sudbury Platinum, Landore Resources",0,,8.55,0.45,2,0.38,Tech Rep (2018-01),Magmatic Sulphide,Impact-related,Impact-related,
Canada,Cat Lake-New Manitoba,,,unknown,0,,0,,2,0.33,Yang et al (2014),Magmatic Sulphide,Layered Intrusive,,
Canada,Kenbridge,,,Transition Metals Corp,4.464,0.42,2.675,0.96,0.118,1.38,AR 2011,Magmatic Sulphide,Layered Intrusive,,
Canada,Lac des Iles,,,North American Palladium,22.32,0.07,50.657,0.07,8.235,0.07,AIF 2018,Magmatic Sulphide,Layered Intrusive,PGE-discordant intrusion,
Canada,Lac Rocher,,,Victory Nickel,0.286,1.23,0.513,1.05,0.439,0.65,Tech Rep (2008-12),Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,
Canada,Werner Lake-Norpax,,,Global Cobalt Corp,0,,0,,1.01,1.2,website (10 July 2016),Magmatic Sulphide,Layered Intrusive,,
Canada,Werner Lake-Big Zone,,,"Global Cobalt Corp, Global Energy Metals Corp",0,,0,,0.172,0.62,Tech Rep (2015-05),Magmatic Sulphide,Layered Intrusive,,
Canada,Mel,,,Victory Nickel,0,,4.279,0.875,1.01,0.839,Tech Rep (2007-03),Magmatic Sulphide,Proterozoic Komatiite,,
Canada,Minago,,,Victory Nickel,9.053,0.3,35.333,0.3,11.812,0.3,Tech Rep (2010-03),Magmatic Sulphide,Proterozoic Komatiite,,
Canada,Thompson,,,Vale,1.866,1.87,14.1,1.64,0,,"Form 20F 2015, 2018",Magmatic Sulphide,Proterozoic Komatiite,Proterozoic Komatiite,
Canada,Bucko Lake,,,unknown,1.367,1.4,4.839,1.4,5.043,1.41,Tech Rep (2012-10),Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,
Canada,Raglan,,,Glencore,6.5,3.75,14.2,3.15,14,3,ResV-ResC 2018,Magmatic Sulphide,Proterozoic Komatiite-related,,
Canada,Raglan-Nunavik Group #1,,,Jilin Jien Nickel (?),0.56,0.93,21.04,0.92,5.227,0.72,Tech Rep (2011-08),Magmatic Sulphide,Proterozoic Komatiite-related,,
Canada,Raglan-Nunavik Group #2,,,Jilin Jien Nickel (?),0,,5.641,0.6,1.777,0.56,Tech Rep (2010-04),Magmatic Sulphide,Proterozoic Komatiite-related,,
Canada,Blue Lake,,,unknown,0,,0,,4.375,0.52,Tech Rep (2013-03),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Canalask-Onion,,,Victoria Gold Corp,0,,0,,0.39,1.35,YGS (2009),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Eagle's Nest,,,Noront Resources,5.346,2.08,5.643,1.5,8.966,1.1,AIF 2018,Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Ferguson Lake,,,unknown,0,,15.8,0.65,30.2,0.67,Tech Rep (2011-11),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Geordie Lake,,,Sibanye-Stillwater,13.97,0.009,37.54,0.01,17.92,0.009,Tech Rep (2008-07),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Lac Kelly (Quebec),,,Globex Mining,0,,0,,1.4,0.7,Website (4 April 2020),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Lac Levac-Nisk 1,,,Nemaska Lithium (?),1.255,1.09,0.783,1,1.053,0.81,Tech Rep (2009-12),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Lynn Lake,,,"Corazon Mining, Victory Nickel",0,,1.899,0.7,2.403,0.86,media (11 Oct 2018),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Makwa (Maskwa),,,Grid Metals,0,,7.2,0.61,0.673,0.27,Tech Rep (2014-05),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Mayville,,,Grid Metals,0,,27.9,0.18,5.3,0.18,Tech Rep (2014-05),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Nicobi,,,Western Troy Capital Resources (?),0,,0,,1.8,0.47,website (4 August 2016),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Norton Lake,,,Copper Lake Resources,1.77,0.67,0.489,0.67,0.199,0.66,Tech Rep (2009-05),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,River Valley,,,New Age Metals,56.1,0.02,43.16,0.02,52.31,0.02,Tech Rep (2019-01),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Shakespeare,,,private equity,0,,14.262,0.35,0.986,0.36,AR 2012,Magmatic Sulphide,Small M-UM Intrusion-related,Small M-UM Intrusion-related,
Canada,Shebandowan West,,,"Vale, North American Pd",0.736,0.89,1.847,0.92,0.342,1.11,Tech Rep (2007-10),Magmatic Sulphide,Small M-UM Intrusion-related,Small M-UM Intrusion-related,
Canada,Shining Tree,,,private equity,0,,1.02,0.71,1.49,0.67,AIF 2012-01,Magmatic Sulphide,Small M-UM Intrusion-related,Small M-UM Intrusion-related,
Canada,Thunder Bay North-Current Lake,,,Panoramic Resources,0,,9.829,0.19,0.525,0.19,AR 2018,Magmatic Sulphide,Small M-UM Intrusion-related,Small M-UM Intrusion-related,
Canada,Voisey's Bay,,,Vale,15.5,2.24,15.5,2,0,,Form 20F 2018,Magmatic Sulphide,Small M-UM Intrusion-related,Small M-UM Intrusion-related,
Canada,Wellgreen,,,Nickel Creek Platinum,93.3,0.25,230.1,0.27,108.1,0.29,Tech Rep (2018-12),Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Zulapa (Ni-Cu),,,Globex Mining,0,,0,,1.69,0.55,Ann Info Form 2013,Magmatic Sulphide,Small M-UM Intrusion-related,,
Canada,Terra (Silver Bear) Tailings,,,Denendeh,0,,0,,0.454,0.5,GNT (2016),Tailings,Epithermal,Epithermal,
Canada,Eldorado-Port Radium Tailings,,,unknown,0,,0,,0.83,0.05,website (20 Jan 2013),Tailings,Unconformity-related Uranium,,
China,Jinchuan,,,Jinchuan Group,0,,0,,361.9,1.18,calc; Porter (2016),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Huangshandong-Huangshan-Xiangshan,,,Xinjiang Xinxin Mining Industry,0,,0,,79.17,0.45,AR 2018,Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Kalatongke,,,Xinjiang Xinxin Mining Industry,0,,0,,29.83,0.56,AR 2018,Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Xiarihamu,,,unknown,0,,0,,157,0.64,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Baimazhai,,,unknown,0,,0,,3.8,1.03,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,Emeishan LIP,
China,Zhouan,,,unknown,0,,0,,96,0.35,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Heishan,,,unknown,0,,0,,35,0.6,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Tianyu,,,unknown,0,,0,,8.3,0.6,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Yangliuping,,,unknown,0,,0,,90,0.45,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,Emeishan LIP,
China,Zhubu,,,unknown,0,,0,,6.7,0.23,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,Emeishan LIP,
China,Jinbaoshan,,,unknown,0,,0,,34,0.17,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,Emeishan LIP,
China,Hongqiling,,,unknown,0,,0,,8.9,2.3,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Piaohechuan,,,unknown,0,,0,,1.2,0.83,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Huanshanxi,,,unknown,0,,0,,80,0.54,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,,
China,Limahe,,,unknown,0,,0,,3,1,Lu et al (2019),Magmatic Sulphide,Small M-UM Intrusion-related,Emeishan LIP,
Colombia,Cerro Matoso,,,South32,66,0.9,183,0.9,17,0.2,AR 2018,Laterite,Clay silicate-hydrous Mg silicate-oxide,Clay silicate-hydrous Mg silicate-oxide,
Côte d'Ivoire,Tiuba-Biankouma,,,Compagnie Miniere du Bafing (CMB),0,,0,,293,1.46,Berger et al (2011),Laterite,Hydrous Mg silicate-clay silicate-oxide,,
Côte d'Ivoire,Samapleu,,,"Sama Resources, SODEMI",0,,14.159,0.24,26.48,0.24,Tech Rep (2015-12),Magmatic Sulphide,Layered Intrusive,,
Cuba,Pinares de Mayari-Nicaro,,,unknown (Cuban Gov't?),0,,0,,400,1.1,Berger et al (2011),Laterite,Oxide,Oxide,
Cuba,San Felipe,,,unknown (Cuban Gov't?),0,,0,,234,1.3,Berger et al (2011),Laterite,Oxide,Oxide,
Cuba,Taco Bay,,,unknown (Cuban Gov't?),0,,0,,22.6,1.27,Berger et al (2011),Laterite,Oxide?,Oxide,
Cuba,Nicaro,,,unknown (Cuban Gov't?),0,,0,,200,1,Berger et al (2011),Laterite,Oxide-Clay silicate,Oxide-Clay silicate,
Cuba,Moa Bay JV,,,"Sherritt, Cuban Gov't",34.19,1.02,11.65,0.91,8.79,0.99,Tech Rep (2019-06),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Cuba,Moa Bay-Camarioca Norte/Sur,,,"Sherritt, Cuban Gov't",52.43,1.07,22.17,0.97,15.43,0.92,Tech Rep (2019-06),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Cuba,Moa Bay-Eastern Satellites,,,"Sherritt, Cuban Gov't",26.55,0.98,12.22,0.93,8.37,0.74,Tech Rep (2019-06),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Cuba,Punta Gorda,,,unknown (Cuban Gov't?),0,,0,,310,1.3,Berger et al (2011),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Cuba,Cajálbana,,,unknown (Cuban Gov't?),0,,0,,44.8,1.11,Berger et al (2011),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Dominican Rep.,Cumpié Hill-Cerro de Maimon,,,Perilya Mines (Zhongjin),0,,3,1.49,3.2,1.5,AR 2018,Laterite,Hydrous Mg silicate-clay silicate-oxide,Hydrous Mg silicate-clay silicate-oxide,
Dominican Rep.,Falcondo,,,Americano Nickel,40.5,1.42,31.1,1.53,4.9,1.4,ResV-ResC 2018,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Ethiopia,Sidamo,,,unknown,0,,0,,17,1.3,Tadesse et al (2003),Laterite,Hydrous Mg silicate-clay silicate-oxide,Hydrous Mg silicate-clay silicate-oxide,
Finland,Jauratsi,,,unknown,0,,0,,16.5,0.05,Eilu et al (2012),Hydrothermal Ni,IOCG,,
Finland,Kuhmo-Arola,,,Boliden,0,,0,,1.5,0.46,media (8 July 2014),Hydrothermal Ni,IOCG,,
Finland,Kuhmo-Hietaharju,,,Boliden,0,,0.85,0.85,0.24,0.59,media (8 July 2014),Hydrothermal Ni,IOCG,,
Finland,Kuhmo-Kauniinlampi,,,unknown,0,,0,,0.5,0.45,Eilu et al (2012),Hydrothermal Ni,IOCG,,
Finland,Kuhmo-Peura-Aho,,,Boliden,0,,0.4,0.63,0.09,0.48,media (8 July 2014),Hydrothermal Ni,IOCG,,
Finland,Kuhmo-Sika-Aho,,,Boliden,0,,0,,0.17,0.66,media (8 July 2014),Hydrothermal Ni,IOCG,,
Finland,Kuhmo-Vaara,,,Boliden,0,,7.5,0.32,0.739,0.27,media (19 Oct 2009),Hydrothermal Ni,IOCG,,
Finland,Rautavaara R1,,,Bluejay Mining,0,,28.3,0.192,5.96,0.186,QR (2011-03),Hydrothermal Ni,IOCG,,
Finland,Loukinen,,,unknown,0,,0,,0.114,0.45,Eilu et al (2012),Hydrothermal Ni,Orogenic Au,,
Finland,Talvivaara (Kolmisoppi-Kuusilampi),,,Terrafame,0,,0,,"1,525",0.267,AR 2018,Hydrothermal Ni,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,
Finland,Kylylahti,,,Boliden,3.353,0.24,4.132,0.27,0.737,0.42,ResV-ResC 2018,Hydrothermal Ni,VMS,,
Finland,Luikonlahti-Hoikka,,,unknown,0,,0,,0.2,0.15,Eilu et al (2012),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Hautalampi (Keretti),,,Boliden,1.03,0.47,1.23,0.42,0.9,0.4,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Riihilahti,,,Boliden,0,,0.14,0.16,0.559,0.03,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Saramäki,,,Boliden,0,,0,,3.4,0.05,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Sarkalahti,,,Boliden,0,,0,,0.19,1.02,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Särkiniemi,,,Boliden,0,,0.1,0.7,0,,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Valkeisenranta (Rytky),,,Boliden,0,,1.54,0.71,0,,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Outokumpu-Vuonos,,,Boliden,0,,0,,0.76,0.13,media (8 July 2014),Hydrothermal Ni,VMS,,
Finland,Perttilahti,,,unknown,0,,0,,1.324,0.14,Eilu et al (2012),Hydrothermal Ni,VMS,,
Finland,Riihilathi,,,unknown,0,,0,,0.7,0.03,Eilu et al (2012),Hydrothermal Ni,VMS,,
Finland,Vesilaskujänkä,,,unknown,0,,0,,1.8,0.02,Eilu et al (2012),Hydrothermal Ni,VMS,,
Finland,Hotinvaara,,,Magnus Minerals,0,,0,,1.267,0.43,Pres. (2014-05),Magmatic Sulphide,Archean Komatiite,,
Finland,Iso-Siettelöjoki,,,unknown,0,,0,,0.5,0.29,Sandstad et al (2012),Magmatic Sulphide,Archean Komatiite,,
Finland,Arctic-Suhanko,,,CD Capital Management,46.9,0.1,69.9,0.09,91.7,0.1,ResV-ResC 2016,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,
Finland,Kaukua,,,Palladium One Resources,0,,10.985,0.09,10.875,0.08,Tech Rep (2019-09),Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,
Finland,Kevitsa,,,Boliden,86.1,0.14,181,0.150725666,19.2,0.14,ResV-ResC 2018,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,
Finland,Ahokkala,,,unknown,0,,0,,0.02,1.25,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Haukiaho,,,"Nortec Minerals Corp, Finore Mining",0,,0,,23.2,0.14,Tech Rep (2013-09),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Hitura,,,unknown,0.221,0.63,4.042,0.48,0.457,0.72,Tech Rep (2012-12),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Ilmolahti-Ilmolahti,,,unknown,0,,0,,0.21,0.37,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Ilmolahti-Mäkisalo,,,unknown,0,,0,,0.104,0.43,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Ilmolahti-Ohensalo,,,unknown,0,,0,,0.137,0.24,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Ilmolahti-Törmälä,,,unknown,0,,0,,0.116,0.6,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Koivujoki,,,unknown,0,,0,,0.025,0.94,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Liuksiala,,,unknown,0,,0,,0.05,0.3,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Oravainen,,,unknown,0,,0,,1.3,0.95,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Puumala-Rantala,,,unknown,0,,0,,0.02,0.53,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Ruimu,,,Bluejay Mining,0,,0,,3.5,0.32,Pres. (2011-11),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Sampolanmäki,,,unknown,0,,0,,0.03,1.4,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Tallas-Tuliniemi,,,unknown,0,,0,,0.09,0.34,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Vammala-Ekojoki,,,Dragon Mining,0,,0,,1.052,0.49,media (18 March 2014),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Vammala-Sahakoski,,,unknown,0,,0,,1.6,0.65,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Vammala-Soukko,,,unknown,0,,0,,0.05,0.44,Eilu et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Vammala-Stormi,,,Dragon Mining,0,,0,,1.6,0.44,media (18 March 2014),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Vehmasjoki,,,unknown,0,,0,,0.036,0.94,Rasilainen et al (2012),Magmatic Sulphide,Small M-UM Intrusion-related,,
Finland,Kuusijärvi,,,unknown,0,,0,,7.001,0.24,Geol Survey Finland (GTK; 27 Dec 2013),Magmatic Sulphide,Stratabound Contact-type,,
Greece,Agios Ioannis,,,Larco,0,,0,,57.1,0.77,Berger et al (2011),Laterite,Oxide,Oxide,
Greece,Evvoia,,,Larco,0,,0,,210.8,0.83,Berger et al (2011),Laterite,Oxide,Oxide,
Greece,Kastoria,,,Larco,0,,0,,1.6,1.32,Berger et al (2011),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Guatemala,Baja Verapaz,,,unknown,0,,0,,40,1.35,Berger et al (2011),Laterite,Clay silicate-oxide,Clay silicate-oxide,
Guatemala,Fenix-Exmibal (Saprolite+Limonite),,,Solway Group,55.014,1.27,40.96,1.66,55.3,1.2,Tech Rep (2010-03),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Guatemala,Mayaniquel-Sechol Group,,,unknown,0,,50.758,1.29,84.163,1.21,Tech Rep (2011-04),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Guinea,Gogota,,,SRG Mining,0,,0,,44.89,1.28,Tech Rep (2018-06),Laterite,Oxide-Hydrous Mg silicate,,
India,Kansa,,,Indian Gov't,0,,0,,40.88,0.8,Berger et al (2011),Laterite,Oxide,Oxide,
India,Simlipal ,,,Indian Gov't,0,,0,,27,1,Berger et al (2011),Laterite,Oxide,Oxide,
India,Bhimatangar,,,Indian Gov't,0,,0,,63.9,1.03,Berger et al (2011),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
India,Kaliapani,,,Indian Gov't,0,,0,,64.6,0.88,Berger et al (2011),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
India,Saruabil,,,Indian Gov't,0,,0,,18.4,0.92,Berger et al (2011),Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Indonesia,South-east Kalimantan,,,PT Kreasitama Rimba Persada (?),0,,0,,56,1.5,Berger et al (2011),Laterite,Hydrous Mg silicate,Hydrous Mg silicate,
Indonesia,Bahodopi,,,Vale,0,,0,,175,1.77,Dalvi & Bacon (2004),Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Indonesia,Buli,,,unknown,0,,0,,194.6,1.1,Berger et al (2011),Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Indonesia,East Halmahera Group (Saprolite),,,PT Antam,82.03,1.98,93.24,1.85,111.33,1.84,AR 2018,Laterite,Hydrous Mg silicate-oxide,,
Indonesia,North Konawe Group (Saprolite),,,PT Antam,30.42,1.7,56.47,1.74,79.83,1.56,AR 2018,Laterite,Hydrous Mg silicate-oxide,,
Indonesia,Pomalaa (Saprolite),,,PT Antam,8.99,1.93,12.63,1.79,9.13,1.73,AR 2018,Laterite,Hydrous Mg silicate-oxide,,
Indonesia,Pulau-Gag Island (Saprolite),,,PT Antam,8.68,2.06,31.42,1.97,76.76,1.88,AR 2018,Laterite,Hydrous Mg silicate-oxide,,
